Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
106	9	Sol5	G5	349	349	1	4	833	95	96	ARANAĞME	4.111111
107	9	Mi5b5	E5b5	331	331	3	32	312	95	96	.	4.152778
108	9	Re5	D5	327	327	1	32	104	95	96	.	4.166667
109	9	Do5	C5	318	318	1	8	417	95	96	.	4.222222
110	9	Re5	D5	327	327	1	4	833	95	96	.	4.333333
111	9	Si4b5	B4b5	309	309	3	32	312	95	96	.	4.375
112	9	La4b5	A4b5	300	300	1	32	104	95	96	.	4.388889
113	9	Sol4	G4	296	296	1	8	417	95	96	.	4.444445
114	9	Do5	C5	318	318	1	4	833	95	96	.	4.555555
115	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	4.583333
116	9	La4b5	A4b5	300	300	1	16	208	95	96	.	4.611111
117	9	La4b5	A4b5	300	300	1	16	208	95	96	.	4.638889
118	9	Sol4	G4	296	296	1	16	208	95	96	.	4.666667
119	9	Sol4	G4	296	296	1	4	833	95	96	.	4.777778
120	53			0	0	0	0	0	0	0		4.777778
121	9	Sol5	G5	349	349	1	16	208	95	96	.	4.805555
122	9	Fa5	F5	340	340	1	16	208	95	96	.	4.833333
123	9	Mi5b1	E5b1	335	335	1	16	208	95	96	.	4.861111
124	9	Sol5	G5	349	349	1	16	208	95	96	.	4.888889
125	9	Fa5	F5	340	340	1	4	833	95	96	.	5
126	53			0	0	0	0	0	0	0		5
127	9	Mi5b2	E5b1	334	335	1	8	417	95	96	.	5.055555
128	9	Fa5	F5	340	340	1	4	833	95	96	.	5.166667
129	9	Fa5	F5	340	340	1	16	208	95	96	.	5.194445
130	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	5.222222
131	9	Mi5b2	E5b1	334	335	1	8	417	95	96	.	5.277778
132	9	Re5	D5	327	327	1	8	417	95	96	.	5.333333
133	53			0	0	0	0	0	0	0		5.333333
134	9	Si5b5	B5b5	362	362	1	16	208	95	96	.	5.361111
135	9	La5	A5	358	358	1	16	208	95	96	.	5.388889
136	9	Sol5	G5	349	349	1	8	417	95	96	.	5.444445
137	9	Fa5	F5	340	340	3	16	625	95	96	.	5.527778
138	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	5.555555
139	9	Fa5	F5	340	340	1	16	208	95	96	.	5.583333
140	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	5.611111
141	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	5.638889
142	9	Re5	D5	327	327	1	16	208	95	96	.	5.666667
143	9	Re5	D5	327	327	1	4	833	95	96	.	5.777778
144	53			0	0	0	0	0	0	0		5.777778
145	9	Do5	C5	318	318	1	16	208	95	96	.	5.805555
146	9	Re5	D5	327	327	1	16	208	95	96	.	5.833333
147	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	5.861111
148	9	Fa5	F5	340	340	1	16	208	95	96	.	5.888889
149	9	Sol5	G5	349	349	1	4	833	95	96	.	6
150	53			0	0	0	0	0	0	0		6
151	9	Do5	C5	318	318	1	16	208	95	96	.	6.027778
152	9	Re5	D5	327	327	1	16	208	95	96	.	6.055555
153	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	6.083333
154	9	Fa5	F5	340	340	1	16	208	95	96	.	6.111111
155	9	Sol5	G5	349	349	1	16	208	95	96	.	6.138889
156	9	Fa5	F5	340	340	1	16	208	95	96	.	6.166667
157	9	Sol5	G5	349	349	1	8	417	95	96	.	6.222222
158	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	6.25
159	9	Do5	C5	318	318	1	16	208	95	96	.	6.277778
160	9	Re5	D5	327	327	1	16	208	95	96	.	6.305555
161	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	6.333333
162	9	Fa5	F5	340	340	1	16	208	95	96	.	6.361111
163	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	6.388889
164	9	Fa5	F5	340	340	1	8	417	50	96	.	6.444445
165	53			0	0	0	0	0	0	0		6.444445
166	9	Re5	D5	327	327	1	8	417	95	96	.	6.5
167	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	6.527778
168	9	Re5	D5	327	327	1	16	208	95	96	.	6.555555
169	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	6.611111
170	9	Sol5	G5	349	349	1	8	417	95	96	.	6.666667
171	9	Fa5	F5	340	340	1	8	417	95	96	.	6.722222
172	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	6.777778
173	9	Re5	D5	327	327	1	8	417	95	96	.	6.833333
